04177-6315	6.04	7.67	1.63	4.084
04187-5252	6.22	8.83	2.61	0.845
04190-3354	6.51	8.73	2.22	5.964
04222-0441	7.94	8.73	0.79	1.552
04224+2049	6.21	8.6	2.39	1.887
04227+1503	7.31	8.63	1.32	1.24
04233+1123	6.95	8.29	1.34	1.102
04242-5704	6.87	7.23	0.36	5.34
04249-7741	8.06	8.27	0.21	10.399
04255+1756	4.26	7.85	3.59	1.8
04266-4032	7.04	8.23	1.19	2.786
04268+5539	7.69	8.76	1.07	0.944
04279-2130	7.4	7.7	0.3	1.917
04289+3022	6.44	8.03	1.59	14.795
04289-4936	8.05	8.49	0.44	5.58
04301+1538	5.7	8.12	2.42	1.465
04311+0647	7.23	8.11	0.88	9.51
04314+4001	6.78	7.18	0.4	9.032
04320+5355	5.78	6.82	1.04	10.378
04335+1801	6.97	7.02	0.05	3.049
04352-0944	6.71	7.64	0.93	12.751
04380-1302	7.33	7.85	0.52	12.256
04382-1418	4.02	6.95	2.93	1.076
04385+2656	7.36	7.21	0.15	4.375
04403-5857	7.33	7.45	0.12	3.781
04417-6113	8.37	8.45	0.08	7.19
04436-0848	6.74	6.78	0.04	9.334
04448+0517	8.78	8.92	0.14	4.669
04496-5353	8.28	8.77	0.49	3.233
04509-5328	5.61	6.24	0.63	12.8
04518+1339	6.41	8.89	2.48	0.805
04542+4935	8.72	8.88	0.16	8.61
04581+0141	8.48	8.61	0.13	2.548
04590-1623	5.92	7.5	1.58	0.806
04593+3753	5	8.21	3.21	4.746
05007-1330	7.49	8.77	1.28	5.817
05020+0137	6.5	7.71	1.21	14.563
05030-0840	7.11	8.52	1.41	3.669
05044-3529	4.71	8.17	3.46	3.185
05055+1948	7.02	7.56	0.54	0.918
05079+5459	8.56	8.82	0.26	1.038
05079+0830	5.76	6.67	0.91	0.952
05102-7205	8.71	8.91	0.2	3.95
05103+3718	6.96	6.78	0.18	1.625
05110+3203	8.14	8.93	0.79	4.674
05118+0102	6.26	7.44	1.18	1.668
05132-1256	4.43	6.77	2.34	2.15
05133+0252	4.62	8.5	3.88	6.44
05136-3154	8.2	8.4	0.2	7.16
05145-0812	0.3	6.8	6.5	9.43
05147-0704	7.15	8.78	1.63	4.233
05152+0826	7.77	8.42	0.65	4.666
05154+3241	5.03	7.33	2.3	14.177
05167+1826	7.72	8.28	0.56	2.547
05172+3320	7.85	7.89	0.04	3.074
05188+5250	8.3	8.81	0.51	0.893
05189+4515	8.44	8.97	0.53	9.887
05193-1045	7.52	7.55	0.03	10.655
05204-2114	4.72	8.45	3.73	4.046
05218-2446	5.44	6.58	1.14	3.5
05231+0103	7.69	7.89	0.2	4.788
05233-0825	6.13	8.09	1.96	6.204
